pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
K2-155 c,K2-155,Transit,13.85,0.0946,2.6,583,4258,0.58,0.65
K2-155 d,K2-155,Transit,40.718,0.1937,1.9,381,4258,0.58,0.65
K2-156 b,K2-156,Transit,0.813143,0.0149,1.1,1347,4460,0.62,0.66
K2-157 b,K2-157,Transit,0.3652575,0.00962,0.935,2432,5334,0.86,0.89
K2-157 c,K2-157,Radial Velocity,25.942,0.165,6.08,587,5334,0.86,0.89
K2-157 d,K2-157,Radial Velocity,66.5,0.309,5.16,429.1,5334,0.86,0.89
K2-158 b,K2-158,Transit,10.06049,0.0887,2.64,794,5503,0.95,0.92
K2-158 c,K2-158,Transit,5.90279,0.0622,1.28,948,5503,0.95,0.92
K2-159 b,K2-159,Transit,12.42205,0.1013,2.26,684,5425,0.83,0.9
K2-16 b,K2-16,Transit,7.6188,0.0667,2.02,658,4742,0.66,0.68
K2-16 c,K2-16,Transit,19.07863,0.1229,2.54,485,4742,0.66,0.68
K2-160 b,K2-160,Transit,3.705871,,3.17824034,,5649,0.913754,0.982829
K2-161 b,K2-161,Transit,9.283188,,6.11721229,,4972,2.568173,0.986876
K2-162 b,K2-162,Transit,9.45889,0.0795,1.44,631,4842,0.69,0.75
K2-163 b,K2-163,Transit,6.673117,,2.46610713,,4937,0.762201,0.826112
K2-164 b,K2-164,Transit,17.355066,,3.24925008,,5791,2.196069,1.180894
K2-165 b,K2-165,Transit,2.354992,,1.27443657,,5185,0.803827,0.834847
K2-165 c,K2-165,Transit,4.382745,,1.55409035,,5185,0.803827,0.834847
K2-165 d,K2-165,Transit,14.101361,,2.64809498,629.38,5185,0.803827,0.834847
K2-166 b,K2-166,Transit,8.52695,0.0858,2.19,1140,5960,1.61,1.16
K2-167 b,K2-167,Transit,9.978541,0.0932,2.36509493,1220,6310,1.499,1.084
K2-168 b,K2-168,Transit,15.8523,,1.86,766.35,5502.7,0.83,0.877
K2-169 b,K2-169,Transit,6.380803,,1.27328671,,5548,0.919053,0.986144
K2-17 b,K2-17,Transit,17.96753,0.119,2.23,487,4320,0.66,0.71
K2-170 b,K2-170,Transit,7.576544,,1.41817537,,5748,0.981614,0.963657
K2-170 c,K2-170,Transit,12.400047,,1.8017647,,5748,0.981614,0.963657
K2-171 b,K2-171,Transit,5.628466,,2.68657205,,5250,1.717458,0.891587
K2-172 b,K2-172,Transit,14.316941,,1.66608079,,5569,0.868889,0.934356
K2-172 c,K2-172,Transit,29.62682,,3.20569097,,5569,0.868889,0.934356
K2-173 b,K2-173,Transit,5.868699,,1.60826194,,5580,0.843154,0.881538
K2-174 b,K2-174,Transit,19.562307,0.126,2.6,455,4455,0.676,0.7
K2-175 b,K2-175,Transit,9.525988,,2.03803688,,5909,1.420038,1.094693
K2-176 b,K2-176,Transit,5.329439,,1.49090097,,5428,0.86416,0.938545
